,department_name,Sum of Dept Total output cost,prev_year Sum of Dept Total output cost,program_name,program_description,Total output cost,deliverable,year,estimate_or_actual,measure_unit,measure_type,deliverable_id
2719,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Artist residencies in schools,2009,39.0,number,Quantity,372
2720,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Attendances at major performing arts organisations,2009,1044.0,number (‘000)number (‘000),Quantity,373
2721,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Organisations recurrently funded,2009,109.0,number,Quantity,376
2722,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Project companies and artists funded,2009,357.0,number,Quantity,377
2723,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Project companies and artists funded which are regionally based,2009,21.0,per cent,Quantity,378
2724,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Regional Touring Victoria destinations,2009,32.0,number,Quantity,379
2725,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Regionally based organisations recurrently funded,2009,45.0,number,Quantity,380
2726,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Grant recipients who met or exceeded agreed outcomes,2009,82.0,per cent,Quality,381
2727,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Public information rated 'informative' or 'very informative' by grant applicants,2009,90.0,per cent,Quality,382
2728,"Department of Economic Development, Jobs, Transport and Resources",1553.4,,"Creative Industries Access, Development and Innovation","This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:This output supports the creative industries to deliver economic, social and cultural benefit through: talent and leadership; the creative and business ecology; innovation and social impact; participation and place making; and international engagement. The performance measures below compare targets and expected or actual results from the delivery of programs and services as part of this output:",41.6,Performance and grant agreements acquitted within timeframes specified in the funding agreement,2009,80.0,per cent,Timeliness,383
